LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0003232335-0001-5,LEMOYND SCOTT,SOTERIA,1236 E DENWALL DRIVE,CARSON,90746-3155,1236 DENWALL 90746,1236 E DENWALL DRIVE,CARSON,90746-3155,812990,All other personal services,0,06/01/2020,,"(33.8471, -118.2515)"
0003217054-0001-7,SUPERIOR GLOBAL MEDIA LLC,,5015 S REGAL STREET SUITE #B2011,SPOKANE,99223-7906,5015 REGAL 99223-7906,,,,,,0,08/09/2018,10/31/2020,
0003222100-0001-9,ANA C ALVAREZ,,4424 BEETHOVEN STREET,LOS ANGELES,90066-6404,4424 Beethoven 90066-6404,,,,561110,Office administrative services,11,01/01/2017,,"(33.9884, -118.4311)"
0003205486-0001-9,SYSTYM7279 ENTERPRISES LLC,THE ORIGINAL TACO PETE,358 W 38TH STREET,LOS ANGELES,90037-1427,358 38TH 90037,1836 TURISMO LANE,PERRIS,92571-7789,722300,Special food services (including food service contractors & caterers),9,07/31/2020,,"(34.0146, -118.2786)"
0003205543-0001-9,JAIME EDUARDO VAZQUEZ,VAZQUEZ SMOG CENTER,8101 S FIGUEROA STREET,LOS ANGELES,90003-2722,8101 FIGUEROA 90003,8101 S FIGUEROA STREET,LOS ANGELES,90003-2722,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),8,08/03/2020,,"(33.9652, -118.2831)"
0003232398-0001-1,MARIA MONTER AVILA,,496 E AVENUE 28,LOS ANGELES,90031-2067,496 Avenue 28 90031-2067,,,,722300,Special food services (including food service contractors & caterers),1,12/15/2020,,"(34.0807, -118.2076)"
0003474691-0001-4,BROADWAY AND FLORENCE LLC,,7208 S BROADWAY,LOS ANGELES,90003-,7208 BROADWAY 90003,329 S CRESCENT DRIVE,BEVERLY HILLS,90212,,,0,05/29/2024,,
0000311447-0001-8,HENRY/JUNE TAKEI,,606 S ARDEN BLVD,LOS ANGELES,90005-3813,606 ARDEN 90005,,,,,,13,11/01/1977,08/01/2021,
0003247423-0001-3,JRC GROUP LLC,PRIME CARE MEDICAL & SURGICAL CENTER,18519 ROSCOE BLVD,NORTHRIDGE,91324-4632,18519 Roscoe 91324-4632,,,,622000,Hospitals,12,04/01/2021,,"(34.2211, -118.5369)"
0003236369-0001-3,A1 PACKAGING INC,,301 S LOS ANGELES STREET,LOS ANGELES,90013-1407,301 LOS ANGELES 90013,301 S LOS ANGELES STREET,LOS ANGELES,90013-1407,,,14,01/01/2021,,"(34.0485, -118.2451)"
0003231386-0001-1,LOVE BUILDERS INC,,1308 S CACTUS AVENUE,BLOOMINGTON,92316-2126,1308 CACTUS 92316,1308 S CACTUS AVENUE,BLOOMINGTON,92316-2126,233210,Single Family Housing Construction (1997 NAICS),0,01/22/2021,,"(34.0775, -117.3839)"
0003243691-0001-7,BRAUN'S WORLD LLC,BODY ME PHENOMENALS,7792 TOLAND AVENUE,WESTCHESTER,90045-3245,7792 Toland 90045-3245,,,,452000,General merchandise stores,11,07/20/2020,,"(33.9663, -118.3746)"
0003209883-0001-7,BORIS ARUSHANOV,,826 N ONTARIO STREET,BURBANK,91505-3011,826 ONTARIO 91505,826 N ONTARIO STREET,BURBANK,91505-3011,541800,Advertising & related services,0,04/25/2019,,"(34.1689, -118.3413)"
0003220639-0001-7,SALVADOR TAFOLLA,,6130 E OLYMPIC BLVD,LOS ANGELES,90022-5315,6130 OLYMPIC 90022,6130 E OLYMPIC BLVD,LOS ANGELES,90022-5315,,,0,11/17/2020,,"(34.0126, -118.14)"
0003203435-0001-1,OCHOA'S RECYCLING INC,,4858 W PICO BLVD SUITE #375,LOS ANGELES,90019-4225,4858 Pico 90019-4225,,,,811110,Automotive mechanical & electrical repair & maintenance,10,06/15/2020,,"(34.048, -118.3425)"
0003229750-0001-7,REMARKER STYLE INC,,765 E 14TH STREET,LOS ANGELES,90021-2113,765 14TH 90021,765 E 14TH STREET,LOS ANGELES,90021-2113,315000,Apparel mfg.,14,01/08/2021,,"(34.0314, -118.2522)"
0003225165-0001-5,ASHTON LEE,,1823 W 79TH STREET,LOS ANGELES,90047-2631,1823 79TH 90047-2631,,,,,,8,01/01/2017,12/31/2020,
0003207058-0001-9,SANDRA WHITE,,14467 JUDD STREET,ARLETA,91331-5054,14467 Judd 91331-5054,,,,,,6,01/01/2015,01/13/2021,
0003221043-0001-1,JONATHAN WHITE,,11945 MAGNOLIA BLVD APT #314,VALLEY VILLAGE,91607-5635,11945 Magnolia 91607-5635,,,,,,2,01/01/2017,12/31/2019,
0003239029-0001-6,1618 83RD LLC,,1618 W 83RD STREET,LOS ANGELES,90047-3127,1618 83RD 90047,5850 W 3RD STREET,LOS ANGELES,90036-2881,531310,Real estate property managers,8,01/01/2021,,"(33.9634, -118.3054)"
0003252687-0001-0,PATRICIA GUTIERREZ,,6210 S HARCOURT AVENUE,LOS ANGELES,90043-3741,6210 Harcourt 90043-3741,,,,561720,Janitorial services,8,03/15/2020,,"(33.9833, -118.3404)"
0003234650-0001-9,GERSON MUNOZ,GUILLERMO WINDOWS CLEANING,2340 ROSEWOOD AVENUE,LANCASTER,93535-5620,2340 Rosewood 93535-5620,,,,561720,Janitorial services,0,02/01/2021,,"(34.6761, -118.0867)"
0003217576-0001-4,TRCF REDONDO TOD LLC,,2430 MARINE AVENUE,REDONDO BEACH,90278-1103,2430 MARINE 90278-1103,,,,,,0,10/27/2020,01/01/2021,
0000000324-0001-9,CANTU CONSTRUCTORS INC,,3333 ELM AVENUE,LONG BEACH,90807-4406,3333 ELM 90807-4406,,,,,,0,10/01/1972,12/30/2007,
0003226027-0001-9,E SQUARED DIGITAL LLC,,2034 OAK GLEN PLACE,LOS ANGELES,90039-3931,2034 Oak Glen 90039-3931,,,,541800,Advertising & related services,13,11/23/2016,,"(34.0931, -118.2539)"
0003223642-0001-1,HELE - LONDON INC,CHURRO CAFE,4609 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90022-1207,4609 CESAR E CHAVEZ 90022-1207,,,,311400,Fruit & vegetable preserving & speciality food mfg.,0,12/07/2020,,"(34.0409, -118.1667)"
0003204719-0001-4,LAURA THORBURN,,11938 GOSHEN AVENUE APT #9,LOS ANGELES,90049-6390,11938 Goshen 90049-6390,,,,621399,Offices of all other miscellaneous health practitioners,11,07/15/2020,,"(34.0468, -118.4656)"
0003244163-0001-1,YUXIN LI,,10770 NATIONAL PLACE,LOS ANGELES,90034-3411,10770 National 90034-3411,,,,541700,Scientific research & development services,5,01/01/2016,,"(34.0298, -118.4186)"
0003217170-0001-4,PBO SERVICE INC,HITECHAUTOMODULE,13300 VICTORY BLVD UNIT #238,VAN NUYS,91401-1831,13300 Victory 91401-1831,,,,811110,Automotive mechanical & electrical repair & maintenance,2,10/21/2020,,"(34.1864, -118.4231)"
0003236522-0001-3,CLARITA SUMADSAD,,10463 PLAINVIEW AVENUE,TUJUNGA,91042-1734,10463 Plainview 91042-1734,,,,621610,Home health care services,7,01/01/2016,,"(34.2591, -118.2982)"
0003217949-0001-0,ADAM PARSLEY,,7050 ENFIELD AVENUE,RESEDA,91335-4716,7050 Enfield 91335-4716,,,,812112,Beauty salons,4,01/01/2016,,"(34.199, -118.5232)"
0003238078-0001-2,"RAM ELECTRICAL CONTRACTORS, INC",,3049 DEARBORN AVENUE,PALMDALE,93551-1027,3049 Dearborn 93551-1027,,,,233320,Commercial and Institutional Building Construction (1997 NAICS),0,02/18/2021,,"(34.5994, -118.1848)"
0003245001-0001-0,ALEC MCPIKE,,5412 CARLTON WAY APT #3,LOS ANGELES,90027-4838,5412 Carlton 90027-4838,,,,,,13,01/01/2016,12/31/2016,
0003236644-0001-8,DIANA CORADO,SOTO'S ORGANIC PLANTS,1460 W 104TH STREET,LOS ANGELES,90047-4518,1460 104TH 90047,1460 1/2 W 104TH STREET,LOS ANGELES,90047-4518,,,0,01/02/2021,,"(33.9422, -118.3018)"
0003242988-0001-2,"FIRST CLASS, LLC",,6320 W 85TH PLACE SUITE #207,LOS ANGELES,90045-2891,6320 85TH 90045-2891,,,,812990,All other personal services,11,02/15/2018,,"(33.9607, -118.3968)"
0003252261-0001-2,NANCY MILLER,,2201 S BUNDY DRIVE,LOS ANGELES,90064-1107,2201 BUNDY 90064,,,,,,11,05/04/2021,01/31/2022,
0003247591-0001-8,ROBERT CHAKHALYAN,L.A. DESIGN SERVICES,504 E WINDSOR ROAD,GLENDALE,91205-2308,504 WINDSOR 91205-2308,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",0,03/01/2012,,
0003233138-0001-0,CESAR M VILLAGOMEZ,CESAR ELECTRIC,6906 JAMIESON AVENUE,RESEDA,91335-4814,6906 Jamieson 91335-4814,,,,235310,Electrical Contractors (1997 NAICS),4,01/21/2021,,"(34.1959, -118.5213)"
0003242368-0001-6,JESSE SANDOVAL,KLEARSAND,634 N ALLYN AVENUE,ONTARIO,91764-3835,634 Allyn 91764-3835,,,,238990,All other specialty trade contractors,0,03/04/2021,,"(34.0704, -117.6369)"
0003243253-0001-9,MAGADY FAMILY LIVING TRUST,,1515 GLENVILLE DRIVE,LOS ANGELES,90035-3107,1515 GLENVILLE 90035-3107,,,,531310,Real estate property managers,0,06/08/2020,,
0003252848-0001-6,CS GLOCAL INC,,3200 WILSHIRE BLVD SUITE #1102,LOS ANGELES,90010-1319,3200 Wilshire 90010-1319,,,,425120,Wholesale trade agents & brokers,10,01/01/2021,,"(34.0608, -118.292)"
0003229393-0001-2,ELIZABETH RAMIREZ,,7873 CHERRYSTONE AVENUE,PANORAMA CITY,91402-6160,7873 Cherrystone 91402-6160,,,,,,6,01/01/2016,12/31/2021,
0003303538-0001-9,PARADISE CHUNG KING LLC,,700 S SANTA FE AVENUE FLOOR #2,LOS ANGELES,90021-1797,700 Santa Fe 90021-1797,,,,,,14,01/01/2022,12/31/2024,
0000059186-0001-1,KEISER CORP,,411 S WEST AVENUE,FRESNO,93706-,411 WEST 93706,,,,,,0,07/01/1994,08/28/1999,
0003245495-0001-3,KOWALSKI AND CORTEZ PRODUCTIONS,GR PRODUCTIONS,3048 N NORTH COOLIDGE AVENUE,LOS ANGELES,90039-3414,3048 NORTH COOLIDGE 90039-3414,3048 N NORTH COOLIDGE AVENUE,LOS ANGELES,90039-3414,,,13,03/23/2021,,
0003242091-0001-1,MAKING SENSE MEDIA LLC,,16633 VENTURA BLVD SUITE #815,ENCINO,91436-1845,16633 Ventura 91436-1845,,,,454111,Electronic shopping,4,09/17/2018,,"(34.1584, -118.4955)"
0003234678-0001-2,DONGSAN 2021 CORPORATION,,1440 W 25TH STREET,SAN PEDRO,90732-4418,1440 25TH 90732,2213 W 180TH PLACE,TORRANCE,90504-4215,424400,Grocery & related products,15,02/15/2021,,"(33.7228, -118.3109)"
0003234850-0001-5,ERIKA GARIBAY,LAS TOXICAS COMIDA DE LA CALLE,11544 IMPERIAL HIGHWAY APT #7,NORWALK,90650-2815,11544 IMPERIAL 90650-2815,,,,445210,Meat markets,0,01/26/2021,,"(33.9167, -118.0868)"
0000004352-0001-0,AUREA LEONOR LOPEZ,NOVEDADES NICA/MEX,1558 W PICO BLVD,LOS ANGELES,90015-2436,1558 PICO 90015-2436,,,,,,1,08/01/2003,12/31/2006,
0003245374-0001-3,JUST SPICES INC,,2355 WESTWOOD BLVD UNIT #685,LOS ANGELES,90064-2109,2355 Westwood 90064-2109,,,,339900,Other miscellaneous mfg.,5,01/01/2017,,"(34.0411, -118.4298)"
0003236398-0001-0,ZIZIA BOTANICALS LLC,,604 N AVENUE 64,LOS ANGELES,90042-2822,604 AVENUE 64 90042,604 N AVENUE 64,LOS ANGELES,90042-2822,424400,Grocery & related products,14,01/01/2021,,"(34.1194, -118.1784)"
0000000129-0001-5,PATRICIA JANET GENTRY,,3648 WESTWOOD BLVD #11,LOS ANGELES,90034-6713,3648 WESTWOOD 90034-6713,,,,,,11,01/01/2000,10/15/2005,
0000000266-0001-4,DIANE MOMB,,12304 SANTA MONICA BLVD #300,LOS ANGELES,90025-2593,12304 SANTA MONICA 90025-2593,,,,,,11,01/15/2002,07/31/2005,
0000000283-0001-8,DAPHNE M LEWIS,,1001 TIVERTON AVENUE #3125,LOS ANGELES,90024-3097,1001 TIVERTON 90024-3097,,,,,,5,03/01/1973,12/31/2013,
0000000319-0001-8,LEO B/ROSLYN NORIN,,5801 W SUNSET BLVD,LOS ANGELES,90028-6606,5801 SUNSET 90028-6606,,,,,,13,04/01/1981,07/18/2010,
0000000331-0001-9,SHEACO INC,,1140 RED GUM STREET,ANAHEIM,92806-,1140 RED GUM 92806,,,,,,0,01/01/1971,11/01/2004,
0000000378-0001-5,CALIFORNIA SPECIALTY CUTTING INC,,3219 E PICO BLVD,LOS ANGELES,90023-3712,3219 PICO 90023-3712,,,,,,14,07/01/1992,12/31/1997,"(34.0179, -118.2097)"
0000000404-0001-0,SEQUOIA VOTING SYSTEMS INC,,717 17TH STREET SUITE #310,DENVER,80202-3310,717 17TH 80202-3310,,,,,,0,01/01/1972,06/04/2010,
0000000421-0001-3,BLUSOUND ELECTRONICS INC,,3809 S HILL STREET,LOS ANGELES,90037-,3809 HILL 90037,,,,,,0,06/01/1991,12/31/1996,
0000000436-0001-0,CULTURAL DESIGN STUDIO /C,,52 SANTA BARBARA PLAZA,LOS ANGELES,90008-,52 SANTA BARBARA 90008,,,,,,0,01/01/1991,04/30/2004,
0000000511-0001-8,BRENDAN SEAN MCGLYNN,,17 LIGHTHOUSE STREET,MARINA DEL REY,90292-5910,17 LIGHTHOUSE 90292-5910,,,,,,11,01/01/2001,12/20/2003,
0000000646-0001-0,JULINE MURPHY,,2034 W LUMBER STREET,LANCASTER,93536-,2034 LUMBER 93536,,,,,,0,01/01/2000,03/31/2001,
0000000743-0001-4,MAURICE L WILSON,,17346 FLOWER HILL CIRCLE,GRANADA HILLS,91344-2244,17346 FLOWER HILL 91344-2244,,,,,,12,06/01/2000,12/31/2004,
0000000812-0001-7,SILVIA BARRIOS,,647 N DILLON STREET,LOS ANGELES,90026-,647 DILLON 90026,,,,,,13,06/01/2000,12/31/2003,
0000000826-0001-9,SEAN BRYN,,10179 LARWIN AVENUE #4,CHATSWORTH,91311-0179,10179 LARWIN 91311-0179,,,,,,12,01/01/1999,03/10/2003,
0000000882-0001-2,ROXIE A HARRIS,,6556 2ND AVENUE,LOS ANGELES,90043-4504,6556 2ND 90043-4504,,,,,,8,01/01/2000,12/31/2008,
0000000967-0001-6,ROLF GOMPERTZ,,6516 BEN AVENUE,N HOLLYWOOD,91606-1509,6516 BEN 91606,,,,,,2,11/01/1974,01/01/2007,
0000000993-0001-9,"DIGITAL LOTUS, INC.",,5252 COLDWATER CANYON AVENUE #101,SHERMAN OAKS,91401-6121,5252 COLDWATER CANYON 91401-6121,,,,,,5,02/01/2000,11/30/2011,
0000001140-0001-9,S/M ALPINE INTERNATIONAL INC,,2000 E OLYMPIC BLVD,LOS ANGELES,90021-,2000 OLYMPIC 90021,,,,,,14,09/01/1974,12/31/1999,
0000001171-0001-4,DAISY MARCO,,3619 HUGHES AVENUE UNIT #3,LOS ANGELES,90034-7573,3619 HUGHES 90034-7573,,,,,,10,02/01/2000,12/31/2005,
0000001184-0001-1,HAROLD IRVIN LAWRANCE,,361 S DETROIT STREET #406,LOS ANGELES,90036-3463,361 DETROIT 90036,,,,,,4,01/01/2000,12/31/2008,
0000001219-0001-7,CHONG POK T GENERAL PARTNERSHIP,,6926 CEDROS AVENUE,VAN NUYS,91405-3848,6926 CEDROS 91405-3848,,,,,,6,01/01/2001,12/30/2018,
0000001279-0001-9,WADE W FEARS JR,,4818 S VERMONT AVENUE,LOS ANGELES,90037-,4818 VERMONT 90037,,,,,,0,02/19/1992,12/31/1995,
0000001294-0001-3,UNITED WE STAND,,2256 EL SOL AVENUE,ALTADENA,91001-,2256 EL SOL 91001,,,,,,0,04/22/1999,09/25/2003,
0000001332-0001-1,JAE WOOK JANG,,1600 W SLAUSON AVENUE #I4,LOS ANGELES,90047-,1600 SLAUSON 90047,,,,,,0,01/01/1992,09/01/2000,
0000001338-0001-8,RICHARD ROSKIN,,411 LORING AVENUE,LOS ANGELES,90024-2642,411 LORING 90024-2642,,,,,,5,01/01/2000,12/31/2008,
0000001351-0001-3,JUAN R CALIX,JUAN'S CLEANING SERVICE,2653 S CORNING STREET,LOS ANGELES,90034-2115,2653 CORNING 90034-2115,,,,561720,Janitorial services,10,02/24/1992,,"(34.035, -118.382)"
0000001355-0001-1,MELANIE DUPUY,,8000 HONEY DRIVE #2,LOS ANGELES,90046-2066,8000 HONEY 90046-2066,,,,,,4,08/01/2000,01/01/2007,
0000001373-0001-0,HECTOR P RICO,,10235 JARDINE AVENUE,SUNLAND,91040-,10235 JARDINE 91040,,,,561790,Other services to buildings & dwellings,0,01/01/2001,01/31/2001,
0000001400-0001-9,RENEE ZABEL,,16456 PLUMMER STREET,SEPULVEDA,91343-1861,16456 PLUMMER 91343-1861,,,,,,12,01/01/2000,12/31/2009,
0000001409-0001-0,GREGORY SERVICES INC,,20300 VENTURA BLVD #150,WOODLAND HILLS,91364-0909,20300 VENTURA 91364-0909,,,,,,3,01/01/1991,07/17/2008,
0000001421-0001-1,DANIEL E WRIGHT,,2001 E 4TH STREET #110,SANTA ANA,92705-,2001 4TH 92705,,,,,,0,04/10/1988,11/01/2004,
0000001436-0013-1,SP PLUS CORPORATION,,333 S LA CIENEGA BLVD,LOS ANGELES,90048-4117,333 LA CIENEGA 90048-4117,,,,,,5,09/24/2007,02/28/2017,
0000001436-0058-1,SP PLUS CORPORATION,,19231 VICTORY BLVD,RESEDA,91335-6308,19231 VICTORY 91335-6308,,,,,,3,10/16/2001,10/31/2019,
0000001436-0122-6,SP PLUS CORPORATION,,1439 N CAHUENGA BLVD,LOS ANGELES,90028-8125,1439 CAHUENGA 90028-8125,,,,,,13,06/01/2006,10/31/2011,
0000001436-0131-5,SP PLUS CORPORATION,,2200 W 3RD STREET,LOS ANGELES,90057-1932,2200 3RD 90057-1932,,,,,,1,02/01/2005,06/30/2009,
0000001436-0218-4,SP PLUS CORPORATION,STANDARD PARKING #80402,800 N ALAMEDA STREET,LOS ANGELES,90012-2177,800 ALAMEDA 90012-2177,,,,,,14,10/01/1999,05/31/2010,
0000001436-0223-1,SP PLUS CORPORATION,,3345 WILSHIRE BLVD,LOS ANGELES,90010-1810,3345 WILSHIRE 90010-1810,,,,,,10,06/01/2000,11/11/2015,
0000001436-0246-0,SP PLUS CORPORATION,,319 E 2ND STREET,LOS ANGELES,90012-4218,319 2ND 90012-4218,,,,,,14,11/01/2008,10/25/2013,
0000001436-0308-3,SP PLUS CORPORATION,,12777 W JEFFERSON BLVD,LOS ANGELES,90066-7048,12777 JEFFERSON 90066-7048,,,,,,11,02/04/2016,08/31/2016,
0000001436-0320-2,SP PLUS CORPORATION,,120 N ROBERTSON BLVD,LOS ANGELES,90048-3108,120 ROBERTSON 90048-3108,,,,,,5,09/01/2018,06/30/2019,
0000001478-0005-3,AIDS HEALTHCARE FOUNDATION,,1724 W SUNSET BLVD,LOS ANGELES,90026-3225,1724 SUNSET 90026-3225,,,,,,13,01/01/2017,08/10/2022,
0000001557-0002-5,DIANE SORIANO,,1635 N TAPER AVENUE,SAN PEDRO,90731-1153,1635 TAPER 90731-1153,,,,,,15,10/08/2010,12/31/2013,
0000001585-0001-9,ELLEN J SCHNUR MD INC,,5724 W 3RD STREET #503,LOS ANGELES,90036-,5724 3RD 90036,,,,,,0,01/01/1992,12/31/1998,
0000001604-0001-3,ORSI WOHLBERG ET AL,,10450 WILSHIRE BLVD #3E,LOS ANGELES,90024-,10450 WILSHIRE 90024,,,,,,0,12/05/1989,12/22/2000,
0000001665-0001-0,ALICE G HART,,10375 WILSHIRE BLVD #2 E,LOS ANGELES,90024-4728,10375 WILSHIRE 90024-4728,,,,,,5,08/01/1974,12/31/2000,
0000001673-0001-4,JAMES D/MARION L GILMORE,,2159 W 78TH PLACE,LOS ANGELES,90047-,2159 78TH 90047,,,,,,0,02/27/1992,10/01/1999,
0000001698-0001-4,CENIT GRAPHICS INC,,2190 SHASTA WAY,SIMI VALLEY,93065-7519,2190 SHASTA 93065,,,,,,0,04/01/1991,12/31/2004,
0000001710-0001-7,PARKING CO OF AMERICA L A INC,,1807 E OLYMPIC BLVD,LOS ANGELES,90021-,1807 OLYMPIC 90021,,,,,,14,03/01/1992,11/30/1996,
0000001717-0001-9,FRANCISCO P FAMOSO,,11146 1/2 WHITTIER BLVD #C,WHITTIER,90606-,11146 WHITTIER 90606,,,,,,0,03/01/1992,12/31/2000,
0000001818-0001-1,JOSEPH L NUNEZ,,871 E WASHINGTON BLVD #209,PASADENA,91104-,871 WASHINGTON 91104,,,,,,0,08/02/1994,11/01/2004,
0000001865-0001-6,SANG TIEV,,17911 TOPHAM STREET,ENCINO,91316-,17911 TOPHAM 91316,,,,,,12,01/01/1999,01/01/2003,
0000001891-0001-9,FRANCESCA FALCHI,,10426 EASTBORNE AVENUE,LOS ANGELES,90024-,10426 EASTBORNE 90024,,,,,,0,01/01/2000,12/31/2002,
0000001900-0001-0,"GATEWAY TO L.A., INC",,6151 W CENTURY BLVD #121,LOS ANGELES,90045-5312,6151 CENTURY 90045-5312,,,,,,11,12/22/1998,01/01/2007,
0000001908-0001-6,"ASSISTED LIVING FOUNDATION OF AMERICA, VAN NUYS, LLC",,7447 SEPULVEDA BLVD,VAN NUYS,91405-,7447 SEPULVEDA 91405,,,,,,0,10/07/1999,02/29/2004,
0000001917-0001-5,G/O 78 DEVELOPMENT INC/PACIFIC ATLAS OFFICE DEVELOPMENT/GRAND AV OFFICE INVESTMENT,,420 BOYD STREET #4THFL,LOS ANGELES,90013-,420 BOYD 90013,,,,,,0,01/01/1991,03/29/1996,
0000001922-0001-6,JAMES W DALY,,22625 WATERBURY STREET,WOODLAND HILLS,91364-4926,22625 WATERBURY 91364-4926,,,,,,3,01/01/2000,12/31/2006,
0000001966-0001-9,JULIA YONI STONE GILROY CPA,,12533 WALSH AVENUE,LOS ANGELES,90066-6609,12533 WALSH 90066-6609,,,,,,11,01/01/1999,12/31/2004,
0000001977-0001-7,THE EYAPAHA INSTITUTE,,910 HOWARD STREET,MARINA DEL RY,90292-,910 HOWARD 90292,,,,,,11,02/13/1998,03/31/2004,
0000001979-0001-6,WALTER J MORIARTY,,1767 ORCHID AVENUE #101,LOS ANGELES,90028-,1767 ORCHID 90028,,,,,,0,02/01/1992,12/31/1993,
0000002007-0001-5,MERRILL MILLER POOLS INC,,24793 WOODED VISTA,WEST HILLS,91307-,24793 WOODED VISTA 91307,,,,,,0,06/30/1991,12/31/1998,
0000002020-0001-1,HUMANISTIC FOUNDATION INC,,555 W REDONDO BEACH BLVD #204,GARDENA,90248-1612,555 REDONDO BEACH 90248-1612,,,,,,15,03/15/1993,08/31/2004,
0000002048-0001-4,MARGO NAHAS/JAY VIGON,,11833 BROOKDALE LANE,STUDIO CITY,91604-4204,11833 BROOKDALE 91604-4204,,,,,,2,01/01/1992,12/31/2004,
0003234821-0001-9,DYNAMIC VIEW INC,,1201 N PACIFIC AVENUE UNIT #214,GLENDALE,91202-1699,1201 Pacific 91202-1699,,,,233210,Single Family Housing Construction (1997 NAICS),0,02/02/2021,,"(34.1635, -118.2654)"
0000002063-0001-9,COMMUNITY DEVELOPMENT INSTITUTE HEAD START,,1506 W 61ST STREET,LOS ANGELES,90047-1540,1506 61ST 90047-1540,,,,,,8,01/02/1981,07/31/2013,
0000002088-0001-9,MAMMA MIA CAFE INC,,1727 N VERMONT AVENUE #102,LOS ANGELES,90027-4343,1727 VERMONT 90027-4343,,,,,,4,02/06/1992,12/31/2009,
0000002127-0001-1,HECTOR M SARMIENTO,,4063 BRUNSWICK AVENUE,LOS ANGELES,90039-1417,4063 BRUNSWICK 90039-1417,,,,,,13,02/03/1992,01/01/2014,
0000002134-0001-1,POST TOOL INC,,400 OAK STREET,OAKLAND,94607-,400 OAK 94607,,,,,,0,11/01/1991,08/24/1992,
